chunck_size,wave_offset,moving_average_index,r_squared
6,12,14,FAILED
6,12,15,FAILED
6,12,16,FAILED
6,12,17,FAILED
6,12,18,FAILED
6,12,19,FAILED
6,12,20,FAILED
6,13,3,FAILED
6,13,4,FAILED
6,13,5,FAILED
6,13,6,FAILED
6,13,7,FAILED
6,13,8,FAILED
6,13,9,FAILED
6,13,10,FAILED
6,13,11,FAILED
6,13,12,FAILED
6,13,13,FAILED
6,13,14,FAILED
6,13,15,FAILED
6,13,16,FAILED
6,13,17,FAILED
6,13,18,FAILED
6,13,19,FAILED
6,13,20,FAILED
6,14,3,0.8953
6,14,4,0.8953
6,14,5,0.8953
6,14,6,0.8953
6,14,7,0.8831
6,14,8,0.9168
6,14,9,0.9168
6,14,10,0.9168
6,14,11,0.9168
6,14,12,0.9168
6,14,13,0.9223
6,14,14,0.9251
6,14,15,0.9988
6,14,16,0.9988
6,14,17,0.9988
6,14,18,0.9988
6,14,19,0.9988
6,14,20,0.9986
6,15,3,FAILED
6,15,4,FAILED
6,15,5,FAILED
6,15,6,FAILED
6,15,7,FAILED
6,15,8,FAILED
6,15,9,FAILED
6,15,10,FAILED
6,15,11,FAILED
6,15,12,FAILED
6,15,13,FAILED
6,15,14,FAILED
6,15,15,FAILED
6,15,16,FAILED
6,15,17,FAILED
6,15,18,FAILED
6,15,19,FAILED
6,15,20,FAILED
7,3,3,FAILED
7,3,4,FAILED
7,3,5,FAILED
7,3,6,FAILED
7,3,7,FAILED
7,3,8,FAILED
7,3,9,FAILED
7,3,10,FAILED
7,3,11,FAILED
7,3,12,FAILED
7,3,13,FAILED
7,3,14,FAILED
7,3,15,FAILED
7,3,16,FAILED
7,3,17,FAILED
7,3,18,FAILED
7,3,19,FAILED
7,3,20,FAILED
7,4,3,FAILED
7,4,4,FAILED
7,4,5,FAILED
7,4,6,FAILED
7,4,7,FAILED
7,4,8,FAILED
7,4,9,FAILED
7,4,10,FAILED
7,4,11,FAILED
7,4,12,FAILED
7,4,13,FAILED
7,4,14,FAILED
7,4,15,FAILED
7,4,16,FAILED
7,4,17,FAILED
7,4,18,FAILED
7,4,19,FAILED
7,4,20,FAILED
7,5,3,FAILED
7,5,4,FAILED
7,5,5,FAILED
7,5,6,FAILED
7,5,7,FAILED
7,5,8,FAILED
7,5,9,FAILED
7,5,10,FAILED
7,5,11,FAILED
7,5,12,FAILED
7,5,13,FAILED
7,5,14,FAILED
7,5,15,FAILED
7,5,16,FAILED
7,5,17,FAILED
7,5,18,FAILED
7,5,19,FAILED
7,5,20,FAILED
7,6,3,FAILED
7,6,4,FAILED
7,6,5,FAILED
7,6,6,FAILED
7,6,7,FAILED
7,6,8,FAILED
7,6,9,FAILED
7,6,10,FAILED
7,6,11,FAILED
7,6,12,FAILED
7,6,13,FAILED
7,6,14,FAILED
7,6,15,FAILED
7,6,16,FAILED
7,6,17,FAILED
7,6,18,FAILED
7,6,19,FAILED
7,6,20,FAILED
7,7,3,FAILED
7,7,4,FAILED
7,7,5,FAILED
7,7,6,FAILED
7,7,7,FAILED
7,7,8,FAILED
7,7,9,FAILED
7,7,10,FAILED
7,7,11,FAILED
7,7,12,FAILED
7,7,13,FAILED
7,7,14,FAILED
7,7,15,FAILED
7,7,16,FAILED
7,7,17,FAILED
7,7,18,FAILED
7,7,19,FAILED
7,7,20,FAILED
7,8,3,FAILED
7,8,4,FAILED
7,8,5,FAILED
7,8,6,FAILED
7,8,7,FAILED
7,8,8,FAILED
7,8,9,FAILED
7,8,10,FAILED
7,8,11,FAILED
7,8,12,FAILED
7,8,13,FAILED
7,8,14,FAILED
7,8,15,FAILED
7,8,16,FAILED
7,8,17,FAILED
7,8,18,FAILED
7,8,19,FAILED
7,8,20,FAILED
7,9,3,FAILED
7,9,4,FAILED
7,9,5,FAILED
7,9,6,FAILED
